U+0113	ē
U+012B	ī
U+014C	Ō
U+014D	ō
U+016B	ū
U+0259	ə
U+0283	ʃ
U+03C2	ς
U+2640	♀
U+266D	♭
U+266F	♯
U+2713	✓
U+4E10	丐
U+4E15	丕
U+4E17	丗
U+4E2A	个
U+4E31	丱
U+4E4D	乍
U+4E82	亂
U+4EB0	亰
U+4EB3	亳
U+4EC0	什
U+4EC6	仆
U+4ECD	仍
U+4ED7	仗
U+4EDD	仝
U+4EDE	仞
U+4EDF	仟
U+4EED	仭
U+4F09	伉
U+4F1C	伜
U+4F30	估
U+4F57	佗
U+4F5A	佚
U+4F5D	佝
U+4F5E	佞
U+4F69	佩
U+4F6F	佯
U+4F70	佰
U+4F7B	佻
U+4F7C	佼
U+4F88	侈
U+4F8F	侏
U+4FA0	侠
U+4FAB	侫
U+4FAD	侭
U+4FCE	俎
U+4FD1	俑
U+4FD8	俘
U+4FDA	俚
U+4FDF	俟
U+4FE5	俥
U+4FF6	俶
U+4FFE	俾
U+5005	倅
U+5006	倆
U+5014	倔
U+501A	倚
U+5021	倡
U+5025	倥
U+5028	倨
U+5029	倩
U+502A	倪
U+5043	偃
U+5047	假
U+5055	偕
U+5056	偖
U+505A	做
U+506C	偬
U+5078	偸
U+5080	傀
U+5085	傅
U+509A	傚
U+50B4	傴
U+50C2	僂
U+50CA	僊
U+50E3	僣
U+50E5	僥
U+50ED	僭
U+50EE	僮
U+50F5	僵
U+5101	儁
U+5102	儂
U+5114	儔
U+5115	儕
U+511A	儚
U+5121	儡
U+5137	儷
U+513A	儺
U+513B	儻
U+513C	儼
U+5140	兀
U+5147	兇
U+514C	兌
U+5154	兔
U+5162	兢
U+5180	冀
U+5182	冂
U+5189	冉
U+518C	册
U+518F	冏
U+5195	冕
U+5196	冖
U+51A2	冢
U+51A6	冦
U+51A9	冩
U+51AA	冪
U+51B0	冰
U+51B1	冱
U+51B2	冲
U+51B5	况
U+51BD	冽
U+51CB	凋
U+51E9	凩
U+51ED	凭
U+51F5	凵
U+51FE	凾
U+520E	刎
U+522A	刪
U+522E	刮
U+5233	刳
U+5244	剄
U+524C	剌
U+5254	剔
U+5265	剥
U+526A	剪
U+5274	剴
U+527D	剽
U+527F	剿
U+5283	劃
U+5288	劈
U+5292	劒
U+52DE	勞
U+52E6	勦
U+5306	匆
U+530D	匍
U+530F	匏
U+5310	匐
U+5315	匕
U+531A	匚
U+5323	匣
U+532A	匪
U+5338	匸
U+5340	區
U+5345	卅
U+5346	卆
U+534D	卍
U+5366	卦
U+5369	卩
U+536E	卮
U+5382	厂
U+5396	厖
U+53A0	厠
U+53A5	厥
U+53B6	厶
U+53C3	參
U+53ED	叭
U+53EE	叮
U+53FA	叺
U+5401	吁
U+540B	吋
U+541D	吝
U+542C	听
U+542D	吭
U+542E	吮
U+5436	吶
U+543D	吽
U+544E	呎
U+5471	呱
U+5476	呶
U+5477	呷
U+5486	咆
U+548F	咏
U+5492	咒
U+54A5	咥
U+54A8	咨
U+54AB	咫
U+54AF	咯
U+54C2	哂
U+54C4	哄
U+54C7	哇
U+54C8	哈
U+54E5	哥
U+54EE	哮
U+5533	唳
U+5540	啀
U+5563	啣
U+557B	啻
U+557E	啾
U+5583	喃
U+5587	喇
U+558A	喊
U+5599	喙
U+559E	喞
U+559F	喟
U+55A8	喨
U+55C4	嗄
U+55C7	嗇
U+55D4	嗔
U+55E4	嗤
U+55F9	嗹
U+55FD	嗽
U+55FE	嗾
U+5616	嘖
U+561B	嘛
U+562F	嘯
U+5636	嘶
U+5638	嘸
U+564E	噎
U+5664	噤
U+566A	噪
U+566B	噫
U+566C	噬
U+5678	噸
U+5680	嚀
U+5686	嚆
U+568A	嚊
U+568F	嚏
U+5694	嚔
U+56A0	嚠
U+56A2	嚢
U+56AE	嚮
U+56BC	嚼
U+56C2	囂
U+56C8	囈
U+56D1	囑
U+56D3	囓
U+56D7	囗
U+56EE	囮
U+5716	圖
U+5737	圷
U+574E	坎
U+574F	坏
U+5761	坡
U+5764	坤
U+5769	坩
U+5793	垓
U+57A4	垤
U+57D3	埓
U+57D4	埔
U+57E0	埠
U+580A	堊
U+580B	堋
U+5819	堙
U+581D	堝
U+5821	堡
U+584B	塋
U+5852	塒
U+5858	塘
U+5879	塹
U+5885	墅
U+58BA	墺
U+58BB	墻
U+58C5	壅
U+58D1	壑
U+58DC	壜
U+58DF	壟
U+58F9	壹
U+58FB	壻
U+58FC	壼
U+590A	夊
U+5919	夙
U+5925	夥
U+592D	夭
U+593E	夾
U+5950	奐
U+5955	奕
U+5958	奘
U+595A	奚
U+5960	奠
U+5981	妁
U+598D	妍
U+59A3	妣
U+59C6	姆
U+59D0	姐
U+59D9	姙
U+59DC	姜
U+59E8	姨
U+5A1C	娜
U+5A1F	娟
U+5A25	娥
U+5A35	娵
U+5A40	婀
U+5A41	婁
U+5A62	婢
U+5A6A	婪
U+5A6C	婬
U+5ABC	媼
U+5ABD	媽
U+5ABE	媾
U+5AC2	嫂
U+5ACB	嫋
U+5AD0	嫐
U+5AD7	嫗
U+5AE3	嫣
U+5AE6	嫦
U+5AE9	嫩
U+5B0B	嬋
