U+2016	‖
U+2212	−
U+2312	⌒
U+266D	♭
U+4E2A	个
U+4ED7	仗
U+4EDE	仞
U+4F30	估
U+4F5A	佚
U+4F5E	佞
U+4F69	佩
U+4F6F	佯
U+4F7B	佻
U+4F88	侈
U+4F8F	侏
U+4FCE	俎
U+4FD1	俑
U+4FD8	俘
U+4FDA	俚
U+4FDF	俟
U+5005	倅
U+5006	倆
U+5021	倡
U+5028	倨
U+502A	倪
U+5043	偃
U+5055	偕
U+505A	做
U+5078	偸
U+5080	傀
U+5085	傅
U+50B4	傴
U+50C2	僂
U+50CA	僊
U+50E5	僥
U+50ED	僭
U+511A	儚
U+5121	儡
U+513A	儺
U+513C	儼
U+514C	兌
U+5162	兢
U+5180	冀
U+5195	冕
U+51A2	冢
U+51AA	冪
U+51B1	冱
U+51B2	冲
U+51BD	冽
U+51E9	凩
U+51ED	凭
U+522A	刪
U+522E	刮
U+5233	刳
U+524C	剌
U+5254	剔
U+526A	剪
U+5288	劈
U+5306	匆
U+530D	匍
U+530F	匏
U+5310	匐
U+5315	匕
U+5323	匣
U+5333	匳
U+5396	厖
U+53A0	厠
U+53A5	厥
U+53A6	厦
U+53ED	叭
U+53FA	叺
U+541D	吝
U+542C	听
U+542D	吭
U+5436	吶
U+543D	吽
U+544E	呎
U+5486	咆
U+548F	咏
U+54AB	咫
U+54C4	哄
U+54C7	哇
U+54C8	哈
U+54E5	哥
U+54EE	哮
U+5533	唳
U+557E	啾
U+5583	喃
U+5587	喇
U+558A	喊
U+5599	喙
U+55A8	喨
U+55C4	嗄
U+55C7	嗇
U+55FD	嗽
U+55FE	嗾
U+5616	嘖
U+562F	嘯
U+5636	嘶
U+5638	嘸
U+564E	噎
U+5664	噤
U+566B	噫
U+5686	嚆
U+568A	嚊
U+5694	嚔
U+56AE	嚮
U+56BC	嚼
U+56C2	囂
U+56EE	囮
U+5726	圦
U+574E	坎
U+574F	坏
U+5761	坡
U+5769	坩
U+5793	垓
U+57D4	埔
U+580A	堊
U+580B	堋
U+581D	堝
U+5821	堡
U+5852	塒
U+5879	塹
U+58BA	墺
U+58C5	壅
U+58D1	壑
U+58FB	壻
U+5925	夥
U+592D	夭
U+593E	夾
U+5955	奕
U+5958	奘
U+5960	奠
U+5969	奩
U+5981	妁
U+598D	妍
U+59A3	妣
U+59C6	姆
U+59DC	姜
U+59E8	姨
U+5A62	婢
U+5A6A	婪
U+5A6C	婬
U+5ABC	媼
