U+2605	★
U+2606	☆
U+2640	♀
U+2642	♂
U+266A	♪
U+4E4D	乍
U+4EC0	什
U+4EDD	仝
U+4F7C	佼
U+4FA0	侠
U+4FAD	侭
U+5102	儂
U+5147	兇
U+51CB	凋
U+5265	剥
U+527D	剽
U+5283	劃
U+531D	匝
U+532A	匪
U+534D	卍
U+5366	卦
U+540B	吋
U+548B	咋
U+566A	噪
U+5678	噸
U+56A2	嚢
U+5764	坤
U+57E0	埠
U+5858	塘
U+5919	夙
U+59D0	姐
U+59F6	姶
U+5A41	婁
U+5B2C	嬬
U+5B8D	宍
U+5C61	屡
U+5CA8	岨
U+5CB1	岱
U+5EE0	廠
U+5EFC	廼
U+5F17	弗
U+5F3C	弼
U+5F4A	彊
U+617E	慾
U+620E	戎
U+63A9	掩
U+63D6	揖
U+6478	摸
U+658C	斌
U+6736	朶
U+6762	杢
U+67C1	柁
U+6802	栂
U+6822	栢
U+6834	栴
U+68B1	梱
U+68BC	梼
U+68C9	棉
U+6919	椙
U+6973	楳
U+6A17	樗
U+6A35	樵
U+6A61	橡
U+6AE8	櫨
U+6B1D	欝
U+6CEA	泪
U+6D9B	涛
U+6D9C	涜
U+6E8C	溌
U+6F45	潅
U+70F9	烹
U+7114	焔
U+7165	煥
U+72DB	狛
U+730A	猊
U+734F	獏
U+736A	獪
U+751C	甜
U+7538	甸
U+7577	畷
U+7627	瘧
U+76C8	盈
U+77E7	矧
U+783A	砺
U+783F	砿
U+7872	硲
U+788D	碍
U+7895	碕
U+79A6	禦
U+7A46	穆
U+7A50	穐
U+7AC3	竃
U+7B67	筧
U+7B86	箆
U+7BAA	箪
U+7BED	篭
U+7C38	簸
U+7C81	粁
U+7C8D	粍
U+7CCE	糎
U+7CDF	糟
U+7DEC	緬
U+7E4B	繋
U+7E79	繹
U+7F6B	罫
U+806F	聯
U+80B1	肱
U+8218	舘
U+821B	舛
U+826E	艮
U+82C5	苅
U+82D3	苓
U+82E7	苧
U+834F	荏
U+83B1	莱
U+83DF	菟
U+844E	葎
U+849C	蒜
U+8500	蔀
U+851A	蔚
U+854A	蕊
U+85AE	薮
U+86CE	蛎
U+8749	蝉
U+877F	蝿
U+88B7	袷
U+8A51	詑
U+8ACC	諌
U+8CCE	賎
U+8D6B	赫
U+8E47	蹇
U+8EAF	躯
U+8F61	轡
U+8FE9	迩
U+9197	醗
U+91C6	釆
U+91E6	釦
U+920E	鈎
U+9237	鈷
U+92EA	鋪
U+92F2	鋲
U+9328	錨
U+934D	鍍
U+9354	鍔
U+9397	鎗
U+93D1	鏑
U+9419	鐙
U+981A	頚
U+9A28	騨
U+9B28	鬨
U+9B4D	魍
U+9B4E	魎
U+9BAA	鮪
U+9BF5	鯵
U+9C0D	鰍
U+9C2D	鰭
U+9D07	鴇
U+9D1B	鴛
U+9D26	鴦
U+9D2B	鴫
U+9D2C	鴬
U+9ECD	黍
